epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,74.504,1.57045,2.49381,2.74685,0.944,0,0.73239,0.15348,0.16334,0.10593,0.7142,0.14227,0.14289,0.06679,1.22123,2.24889,2.37757,0.88084,0,0.000331691,0.000331691,0.0671626
2,145.792,1.28545,1.91772,2.17706,0.87871,0,0.27081,0.28969,0.19702,0.13003,0.25888,0.27512,0.17937,0.08376,1.073,1.61169,2.10405,0.86138,0,0.000654052,0.000654052,0.0341516
3,224.093,1.21262,1.77158,2.05824,0.86775,0,0.22526,0.31886,0.22118,0.1462,0.25085,0.26472,0.20104,0.09361,1.0146,1.45645,1.97976,0.8486,0,0.000965412,0.000965412,0.00112962
4,305.459,1.16755,1.7023,1.9643,0.85853,0,0.28823,0.32149,0.20876,0.14365,0.27659,0.30812,0.19299,0.09422,0.93737,1.36667,2.07287,0.83914,0,0.0009505,0.0009505,0.0009505
5,377.339,1.14772,1.6629,1.94642,0.85123,0,0.33041,0.33776,0.24539,0.17414,0.32548,0.33248,0.23751,0.11987,0.87842,1.28544,1.89103,0.82914,0,0.000934,0.000934,0.000934
6,451.274,1.13527,1.63256,1.88896,0.84928,0,0.29873,0.31455,0.24974,0.17134,0.28668,0.30137,0.22934,0.10733,1.01825,1.29929,1.90425,0.83758,0,0.0009175,0.0009175,0.0009175
7,524.913,1.08168,1.5702,1.8469,0.84461,0,0.39759,0.34261,0.28103,0.19735,0.39079,0.32914,0.26761,0.13614,0.87773,1.22425,1.86266,0.82437,0,0.000901,0.000901,0.000901
8,614.039,1.07968,1.54747,1.7932,0.84223,0,0.44751,0.30011,0.2881,0.20194,0.44608,0.28755,0.26935,0.1369,0.8558,1.21726,1.855,0.81912,0,0.0008845,0.0008845,0.0008845
9,685.762,1.10161,1.55513,1.80007,0.83927,0,0.33376,0.3496,0.29044,0.20838,0.32935,0.34142,0.28019,0.14621,0.85334,1.19097,1.80035,0.81993,0,0.000868,0.000868,0.000868
10,768.534,1.0428,1.48239,1.81277,0.83756,0,0.39429,0.34298,0.2935,0.21012,0.38659,0.33355,0.28137,0.14273,0.8538,1.17978,1.86721,0.81833,0,0.0008515,0.0008515,0.0008515
11,837.321,1.05105,1.48652,1.79317,0.8332,0,0.41099,0.32946,0.28635,0.20555,0.40197,0.31832,0.27106,0.13924,0.8392,1.21698,1.77089,0.819,0,0.000835,0.000835,0.000835
12,914.387,1.06201,1.48322,1.75964,0.8345,0,0.38783,0.35972,0.29775,0.20961,0.37702,0.34801,0.28102,0.13663,0.89167,1.195,1.73841,0.82235,0,0.0008185,0.0008185,0.0008185
13,983.769,1.039,1.46142,1.73536,0.83116,0,0.44402,0.329,0.29529,0.21031,0.43756,0.31233,0.2792,0.13691,0.84376,1.20559,1.80223,0.81825,0,0.000802,0.000802,0.000802
