epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,88.8058,1.81561,3.04565,3.22016,1.03954,0,0.84795,0.15201,0.15764,0.10884,0.84551,0.14039,0.14456,0.07236,1.13564,2.03757,2.44111,0.90368,0,0.000165846,0.000165846,0.000165846
2,166.472,1.36334,2.09588,2.19082,0.91328,0,0.28217,0.27659,0.19428,0.1341,0.2716,0.2614,0.1759,0.08199,1.06621,1.72102,2.16039,0.87903,0,0.00032922,0.00032922,0.00032922
3,243.378,1.26001,1.89763,2.03255,0.89053,0,0.43565,0.26037,0.22323,0.1528,0.43841,0.24195,0.20563,0.09928,0.97877,1.51514,2.08413,0.86264,0,0.000489295,0.000489295,0.000489295
4,320.259,1.22166,1.81513,1.92963,0.87912,0,0.46054,0.30065,0.24265,0.17067,0.44705,0.28598,0.22349,0.10858,0.94088,1.43473,2.0076,0.85405,0,0.00048515,0.00048515,0.00048515
5,398.467,1.19661,1.75981,1.92127,0.86991,0,0.3543,0.32246,0.2437,0.17376,0.35024,0.31319,0.23095,0.1134,0.91053,1.34324,2.00962,0.83938,0,0.0004802,0.0004802,0.0004802
6,474.033,1.16843,1.72345,1.87318,0.86567,0,0.33331,0.33785,0.26295,0.18568,0.32312,0.3236,0.24474,0.1157,0.9363,1.34766,1.89058,0.84614,0,0.00047525,0.00047525,0.00047525
7,552.547,1.11748,1.65853,1.82248,0.85965,0,0.44422,0.35193,0.26408,0.18503,0.4293,0.33186,0.2411,0.12082,0.89863,1.28537,1.89683,0.83839,0,0.0004703,0.0004703,0.0004703
8,630.461,1.10775,1.61163,1.76598,0.85566,0,0.39385,0.34408,0.28514,0.20062,0.37646,0.32905,0.2612,0.12746,0.85883,1.25408,1.80302,0.83312,0,0.00046535,0.00046535,0.00046535
9,705.23,1.12077,1.62463,1.78025,0.85107,0,0.36234,0.37783,0.29277,0.20883,0.35319,0.36195,0.27431,0.13386,0.8593,1.26982,1.76495,0.83242,0,0.0004604,0.0004604,0.0004604
10,780.703,1.08211,1.56924,1.79117,0.85198,0,0.43526,0.37115,0.29748,0.21144,0.42919,0.35526,0.27956,0.13448,0.85621,1.21837,1.79109,0.83145,0,0.00045545,0.00045545,0.00045545
11,859.596,1.07068,1.54913,1.74539,0.84443,0,0.37947,0.37531,0.29963,0.21445,0.36864,0.3609,0.28031,0.13888,0.8354,1.21099,1.77971,0.82382,0,0.0004505,0.0004505,0.0004505
12,933.505,1.07767,1.54389,1.74024,0.8441,0,0.50803,0.32972,0.314,0.22212,0.49451,0.31578,0.29395,0.13813,0.85433,1.22248,1.68071,0.8266,0,0.00044555,0.00044555,0.00044555
