epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,3.2056,3.40169,7.99379,8.70967,3.97765,0,0,0,0,0,0,0,0,0,3.52351,6.00104,7.49909,3.5364,0,0,0,0
2,3.84949,2.96052,9.16924,6.851,3.90928,0,0,0,0,0,0,0,0,0,3.44314,6.12964,7.43645,3.65227,0,1.17822e-06,1.17822e-06,1.17822e-06
3,4.3001,3.34912,8.11598,7.52234,3.79203,0,0,0,0,0,0,0,0,0,3.52255,6.29926,7.51754,3.61577,0,2.33288e-06,2.33288e-06,2.33288e-06
4,4.83785,2.65051,7.98963,6.20396,2.97235,0,0,0,0,0,0,0,0,0,3.41604,6.40032,7.37726,3.56481,0,3.46397e-06,3.46397e-06,3.46397e-06
5,5.30329,3.10326,9.75317,7.4575,3.17735,0,0,0,0,0,0,0,0,0,3.29526,6.65401,7.38077,3.42336,0,4.5715e-06,4.5715e-06,4.5715e-06
6,5.75767,2.84563,10.707,6.86024,3.72119,0,0,0,0,0,0,0,0,0,3.3081,6.98833,7.2787,3.41078,0,5.65548e-06,5.65548e-06,5.65548e-06
7,6.62963,3.11531,10.6462,7.10475,3.72034,0,0,0,0,0,0,0,0,0,3.29506,7.04451,7.2607,3.27921,0,6.71588e-06,6.71588e-06,6.71588e-06
8,8.12377,2.60372,9.15929,6.28916,2.78477,0,0,0,0,0,0,0,0,0,3.22891,7.07429,7.29123,3.27466,0,7.75273e-06,7.75273e-06,7.75273e-06
9,9.3138,2.51114,9.27989,6.02351,3.04563,0,0,0,0,0,0,0,0,0,3.24822,7.09802,7.24817,3.2871,0,8.76602e-06,8.76602e-06,8.76602e-06
10,10.4394,2.48762,7.53412,6.34016,3.13454,0,0,0,0,0,0,0,0,0,3.40654,7.12184,7.29559,3.34969,0,9.75574e-06,9.75574e-06,9.75574e-06
11,12.0804,3.62327,8.62687,7.29335,3.61284,0,0,0,0,0,0,0,0,0,3.44158,7.11704,7.34903,3.43666,0,1.07219e-05,1.07219e-05,1.07219e-05
12,13.3248,2.99323,10.4369,7.01739,3.33362,0,0,0,0,0,0,0,0,0,3.61036,7.12516,7.43016,3.47772,0,1.16645e-05,1.16645e-05,1.16645e-05
13,14.562,3.21255,7.076,6.80068,3.28074,0,0,0,0,0,0,0,0,0,3.70767,7.24574,7.33343,3.61067,0,1.25835e-05,1.25835e-05,1.25835e-05
14,15.8834,2.54328,8.40219,6.60165,2.85481,0,0,0,0,0,0,0,0,0,3.90613,7.24299,7.43525,3.77579,0,1.3479e-05,1.3479e-05,1.3479e-05
15,16.932,2.86941,8.34201,5.97111,3.3877,0,0,0,0,0,0,0,0,0,4.08831,7.14212,7.58517,3.92474,0,1.43509e-05,1.43509e-05,1.43509e-05
16,18.1167,3.27996,9.29581,9.50568,3.20334,0,0,0,0,0,0,0,0,0,4.16417,7.07525,7.771,3.9802,0,1.51993e-05,1.51993e-05,1.51993e-05
17,21.0485,3.15424,9.6223,6.08285,3.76571,0,0,0,0,0,0,0,0,0,4.16317,7.09014,7.84391,4.02052,0,1.60241e-05,1.60241e-05,1.60241e-05
18,22.3819,2.64893,9.21939,5.95447,3.51239,0,0,0,0,0,0,0,0,0,4.16317,7.09014,7.84391,4.02052,0,1.68253e-05,1.68253e-05,1.68253e-05
19,23.7234,2.50136,7.49545,6.16765,3.22839,0,0,0,0,0,0,0,0,0,4.24374,7.11024,7.87584,4.07696,0,1.7603e-05,1.7603e-05,1.7603e-05
