epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,821.146,0.95949,1.50531,1.79545,0.94186,0,0.65739,0.07543,0.06916,0.03358,0.63116,0.05216,0.03662,0.00915,2.37472,2.96247,5.1114,0.84869,0,0.000333279,0.000333279,0.0670054
2,1765.37,0.91636,1.37001,1.60103,0.9285,0,0.35724,0.16487,0.1155,0.05785,0.33094,0.12328,0.06984,0.01866,2.13355,2.53017,2.652,0.82892,0,0.000660013,0.000660013,0.0339988
3,2564.14,0.89239,1.31272,1.53264,0.92012,0,0.41013,0.1697,0.12354,0.05555,0.3466,0.12036,0.06198,0.01482,2.23947,2.38494,2.51339,0.83211,0,0.000980147,0.000980147,0.00098557
4,3346.91,0.86944,1.2648,1.47014,0.91217,0,0.36118,0.1743,0.12702,0.06416,0.31882,0.13292,0.07424,0.0189,2.0016,2.25614,2.27879,0.8201,0,0.0009703,0.0009703,0.0009703
5,4125.39,0.85271,1.22888,1.4253,0.90721,0,0.39513,0.17706,0.13819,0.07056,0.35086,0.13524,0.08262,0.02141,1.94291,2.15812,2.29646,0.81531,0,0.0009604,0.0009604,0.0009604
6,4913.17,0.84416,1.21343,1.4,0.90351,0,0.3377,0.1901,0.14007,0.07319,0.29372,0.14543,0.08195,0.02214,1.9224,2.12192,2.2718,0.81327,0,0.0009505,0.0009505,0.0009505
7,5695.97,0.83569,1.1967,1.37337,0.90074,0,0.36681,0.19116,0.14361,0.0757,0.33292,0.14678,0.0851,0.02335,1.91272,2.09948,2.25397,0.81265,0,0.0009406,0.0009406,0.0009406
8,6477.32,0.83054,1.18338,1.35512,0.89811,0,0.29014,0.19768,0.1484,0.07851,0.23699,0.15041,0.08815,0.02401,1.88255,2.07316,2.2183,0.81091,0,0.0009307,0.0009307,0.0009307
9,7258,0.82248,1.17481,1.33867,0.89597,0,0.27032,0.20907,0.15057,0.08008,0.25156,0.15237,0.0901,0.02478,1.86787,2.05071,2.194,0.81012,0,0.0009208,0.0009208,0.0009208
10,8049.49,0.81867,1.16426,1.32562,0.89553,0,0.33529,0.20448,0.15379,0.08222,0.3021,0.15449,0.09345,0.02565,1.84224,2.03581,2.16063,0.80901,0,0.0009109,0.0009109,0.0009109
11,8830.61,0.81723,1.15951,1.31391,0.89416,0,0.35241,0.20771,0.15756,0.08428,0.30863,0.15789,0.09505,0.02635,1.82734,2.02429,2.13533,0.80814,0,0.000901,0.000901,0.000901
12,9620.6,0.80865,1.14638,1.30073,0.89264,0,0.28776,0.21601,0.15978,0.08609,0.23877,0.16697,0.09758,0.02678,1.81156,2.01518,2.11632,0.80746,0,0.0008911,0.0008911,0.0008911
13,10407.2,0.80701,1.14255,1.29198,0.89172,0,0.3661,0.21562,0.16232,0.08755,0.25469,0.17394,0.09904,0.02715,1.79993,2.0079,2.09704,0.80672,0,0.0008812,0.0008812,0.0008812
