epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,345.822,0.97821,1.59864,2.10101,0.93999,0,0.30314,0.27609,0.1914,0.12185,0.29725,0.26228,0.17543,0.08433,1.05762,1.68173,2.07204,0.84447,0,0.000333201,0.000333201,0.0670131
2,682.811,0.92273,1.40913,1.79523,0.92074,0,0.35485,0.31759,0.253,0.17273,0.34626,0.31197,0.24172,0.1246,0.93083,1.36288,1.90594,0.82723,0,0.000655537,0.000655537,0.0340021
3,1028.15,0.90136,1.34527,1.6962,0.91563,0,0.30478,0.34766,0.25452,0.1741,0.29638,0.32888,0.24154,0.12699,0.93378,1.28692,1.76247,0.82389,0,0.000966872,0.000966872,0.000980089
4,1376.15,0.88144,1.30148,1.62687,0.90733,0,0.3959,0.35193,0.28701,0.19909,0.38881,0.34426,0.27618,0.14652,0.87952,1.24018,1.68471,0.8184,0,0.0009505,0.0009505,0.0009505
5,1721.41,0.86173,1.26606,1.58091,0.90437,0,0.40543,0.37047,0.29188,0.20165,0.39707,0.3595,0.2778,0.13813,0.90376,1.21875,1.69765,0.81926,0,0.000934,0.000934,0.000934
6,2057.77,0.85275,1.24468,1.54123,0.89992,0,0.40851,0.36191,0.29893,0.2079,0.39807,0.34921,0.28228,0.14306,0.87398,1.18981,1.63817,0.81403,0,0.0009175,0.0009175,0.0009175
7,2401.8,0.85032,1.23592,1.51226,0.89609,0,0.4581,0.38262,0.30622,0.21375,0.45541,0.3732,0.29463,0.14493,0.90173,1.19327,1.65643,0.81685,0,0.000901,0.000901,0.000901
8,2743.95,0.84437,1.21957,1.4977,0.89424,0,0.42287,0.36075,0.31591,0.2247,0.48243,0.34644,0.30191,0.15615,0.84372,1.15797,1.61515,0.81105,0,0.0008845,0.0008845,0.0008845
9,3084.81,0.83593,1.2064,1.48016,0.89163,0,0.50102,0.37447,0.32153,0.23015,0.50934,0.35261,0.30643,0.16023,0.83153,1.14235,1.57857,0.80898,0,0.000868,0.000868,0.000868
10,3425.31,0.83145,1.20735,1.46039,0.89228,0,0.3905,0.37863,0.31946,0.23014,0.38377,0.36956,0.30852,0.1599,0.8362,1.14346,1.57356,0.80982,0,0.0008515,0.0008515,0.0008515
11,3761.88,0.82411,1.18796,1.45054,0.8913,0,0.35528,0.39514,0.32534,0.23501,0.35372,0.38657,0.31421,0.16048,0.83564,1.12121,1.55488,0.80887,0,0.000835,0.000835,0.000835
12,4101.65,0.82009,1.17963,1.4333,0.88882,0,0.33446,0.41002,0.33122,0.23956,0.32436,0.39631,0.31583,0.16394,0.84152,1.11981,1.53923,0.80788,0,0.0008185,0.0008185,0.0008185
13,4453.1,0.81635,1.17417,1.42011,0.88879,0,0.35067,0.40356,0.33212,0.239,0.34186,0.39184,0.32025,0.1659,0.85634,1.12006,1.52101,0.80982,0,0.000802,0.000802,0.000802
14,4804.39,0.80967,1.16548,1.39978,0.8852,0,0.40094,0.38579,0.33665,0.24481,0.39905,0.3669,0.32115,0.16572,0.815,1.08311,1.51956,0.80624,0,0.0007855,0.0007855,0.0007855
15,5138.83,0.81002,1.15888,1.40048,0.8867,0,0.38241,0.39601,0.34407,0.24778,0.37522,0.3824,0.32865,0.16638,0.82198,1.10262,1.54927,0.80678,0,0.000769,0.000769,0.000769
16,5474.04,0.80678,1.15383,1.379,0.88402,0,0.36137,0.41303,0.3439,0.24599,0.35574,0.40044,0.32895,0.16775,0.82063,1.08276,1.49091,0.80612,0,0.0007525,0.0007525,0.0007525
17,5804.18,0.80241,1.14004,1.37416,0.88422,0,0.34931,0.42495,0.34251,0.24864,0.34378,0.41472,0.32906,0.17177,0.80897,1.08197,1.49357,0.80484,0,0.000736,0.000736,0.000736
18,6140.86,0.80402,1.138,1.35675,0.88284,0,0.40934,0.41079,0.35443,0.25845,0.39982,0.39895,0.33802,0.17658,0.79829,1.08086,1.47333,0.80396,0,0.0007195,0.0007195,0.0007195
