epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,754.623,0.9181,1.46753,1.92765,0.93694,0,0.37455,0.30779,0.22725,0.1487,0.36807,0.29361,0.21447,0.10963,1.0123,1.56728,1.95179,0.83732,0,0.000333275,0.000333275,0.0670058
2,1492.61,0.86929,1.30408,1.65198,0.91881,0,0.37585,0.30544,0.2461,0.17149,0.35623,0.30751,0.23662,0.11828,0.92825,1.3174,1.75646,0.82224,0,0.000655609,0.000655609,0.0339948
3,2239.2,0.84633,1.24833,1.56118,0.91224,0,0.47838,0.31739,0.28243,0.19805,0.46958,0.30873,0.27106,0.13956,0.89229,1.28351,1.67292,0.81909,0,0.000966943,0.000966943,0.0009728
4,2970.47,0.83713,1.21978,1.5074,0.90745,0,0.40325,0.35245,0.29966,0.21082,0.39776,0.34107,0.28534,0.1471,0.89295,1.21414,1.64148,0.81677,0,0.0009505,0.0009505,0.0009505
5,3702.59,0.82177,1.19608,1.46598,0.9028,0,0.42177,0.35665,0.31259,0.2188,0.4158,0.34843,0.30087,0.1525,0.85335,1.19215,1.62135,0.81277,0,0.000934,0.000934,0.000934
6,4436.67,0.80721,1.1655,1.42516,0.89918,0,0.41441,0.35545,0.31068,0.22202,0.40381,0.34321,0.29448,0.15322,0.84422,1.15588,1.58858,0.81055,0,0.0009175,0.0009175,0.0009175
7,5169.03,0.80161,1.15107,1.39821,0.89691,0,0.4172,0.3693,0.32502,0.23191,0.42101,0.35659,0.31267,0.16302,0.83654,1.14671,1.54936,0.8094,0,0.000901,0.000901,0.000901
8,5903.94,0.79486,1.14052,1.3847,0.89361,0,0.37057,0.39984,0.32878,0.23682,0.35413,0.39455,0.31657,0.16506,0.82047,1.12291,1.52389,0.8078,0,0.0008845,0.0008845,0.0008845
9,6634.51,0.79,1.12745,1.36001,0.89254,0,0.42195,0.38906,0.33136,0.2403,0.41689,0.38089,0.31927,0.16876,0.81863,1.10668,1.49903,0.80731,0,0.000868,0.000868,0.000868
10,7366.6,0.78635,1.12157,1.34095,0.89132,0,0.37751,0.39591,0.33253,0.24271,0.36749,0.3865,0.32055,0.16819,0.8105,1.10612,1.49394,0.80565,0,0.0008515,0.0008515,0.0008515
11,8096.78,0.77984,1.10748,1.32343,0.8898,0,0.37002,0.42731,0.35369,0.25523,0.36135,0.4188,0.33773,0.17813,0.79967,1.09569,1.46906,0.80514,0,0.000835,0.000835,0.000835
12,8828.27,0.77681,1.10336,1.31952,0.88873,0,0.39648,0.41108,0.35031,0.25592,0.38785,0.39951,0.33507,0.17966,0.80276,1.08392,1.4626,0.80431,0,0.0008185,0.0008185,0.0008185
13,9559.3,0.77464,1.09561,1.30452,0.88821,0,0.3984,0.41122,0.35387,0.25724,0.38732,0.40265,0.34099,0.17683,0.79415,1.07795,1.44692,0.80389,0,0.000802,0.000802,0.000802
14,10285.5,0.76943,1.08961,1.29152,0.88659,0,0.40401,0.42072,0.35833,0.26551,0.39683,0.41094,0.34596,0.18336,0.79671,1.07748,1.43644,0.8039,0,0.0007855,0.0007855,0.0007855
15,11008.9,0.76925,1.0892,1.28549,0.88468,0,0.40475,0.41439,0.36441,0.26849,0.40076,0.40047,0.34987,0.18465,0.79069,1.06109,1.43503,0.8022,0,0.000769,0.000769,0.000769
16,11742.9,0.76651,1.08246,1.26593,0.88377,0,0.41434,0.42237,0.3621,0.26853,0.40999,0.40959,0.34742,0.18677,0.7885,1.05907,1.42266,0.80246,0,0.0007525,0.0007525,0.0007525
17,12475.8,0.7661,1.08052,1.26449,0.88411,0,0.40037,0.4341,0.36846,0.27188,0.39639,0.42066,0.35345,0.18761,0.78573,1.0658,1.41014,0.80216,0,0.000736,0.000736,0.000736
18,13203.2,0.76182,1.07395,1.25086,0.88223,0,0.41244,0.42352,0.36778,0.27177,0.40473,0.41398,0.35326,0.18504,0.78433,1.05175,1.40465,0.80168,0,0.0007195,0.0007195,0.0007195
19,13926.2,0.7607,1.07387,1.24382,0.8824,0,0.41935,0.42486,0.37063,0.27153,0.41006,0.41338,0.35404,0.18658,0.78296,1.04768,1.40133,0.80122,0,0.000703,0.000703,0.000703
20,14645.8,0.7571,1.06598,1.2368,0.88187,0,0.41553,0.4262,0.37276,0.27221,0.40099,0.41367,0.35494,0.18686,0.78029,1.04415,1.39937,0.80141,0,0.0006865,0.0006865,0.0006865
21,15379.5,0.75316,1.058,1.22284,0.87991,0,0.42452,0.42532,0.37228,0.27461,0.41492,0.41347,0.35734,0.18827,0.77917,1.03343,1.3927,0.80125,0,0.00067,0.00067,0.00067
22,16111.5,0.7525,1.05836,1.21727,0.87885,0,0.42654,0.43147,0.37591,0.27854,0.41855,0.42171,0.36267,0.19184,0.77557,1.03881,1.38197,0.80078,0,0.0006535,0.0006535,0.0006535
23,16845.6,0.75048,1.05338,1.2106,0.87754,0,0.4305,0.43998,0.37802,0.28009,0.41802,0.4296,0.36214,0.19089,0.77633,1.03118,1.37764,0.80063,0,0.000637,0.000637,0.000637
24,17573.2,0.74702,1.0465,1.20212,0.87715,0,0.40638,0.44938,0.37577,0.27903,0.39751,0.43797,0.36079,0.18993,0.77162,1.03148,1.37469,0.80037,0,0.0006205,0.0006205,0.0006205
25,18292.2,0.74504,1.04401,1.19275,0.8755,0,0.42953,0.44303,0.37996,0.28097,0.42322,0.42995,0.3637,0.19142,0.77139,1.03103,1.37371,0.80005,0,0.000604,0.000604,0.000604
26,19030.7,0.7441,1.04274,1.18178,0.87435,0,0.41475,0.4555,0.38342,0.28095,0.40654,0.4403,0.36735,0.19125,0.7705,1.02712,1.37122,0.8001,0,0.0005875,0.0005875,0.0005875
27,19765.4,0.739,1.03726,1.17659,0.87403,0,0.41045,0.45276,0.38311,0.28393,0.40484,0.43863,0.36748,0.19093,0.77037,1.02522,1.36368,0.7998,0,0.000571,0.000571,0.000571
28,20501.6,0.73791,1.03216,1.16613,0.87422,0,0.41372,0.46125,0.38402,0.28421,0.40318,0.44812,0.36777,0.1912,0.77028,1.02636,1.35998,0.79963,0,0.0005545,0.0005545,0.0005545
29,21244.5,0.73477,1.02833,1.1567,0.87331,0,0.4289,0.44975,0.3848,0.28307,0.41877,0.43898,0.3691,0.19099,0.76932,1.01994,1.35685,0.79942,0,0.000538,0.000538,0.000538
30,21982.5,0.73418,1.02656,1.1538,0.87191,0,0.42178,0.45329,0.38494,0.2852,0.41229,0.44167,0.369,0.1916,0.76633,1.01596,1.35331,0.79905,0,0.0005215,0.0005215,0.0005215
31,22726.6,0.73246,1.02422,1.14744,0.87166,0,0.43186,0.44677,0.38452,0.28537,0.42433,0.43514,0.36951,0.19199,0.76549,1.01204,1.34841,0.79892,0,0.000505,0.000505,0.000505
32,23473.6,0.7311,1.0215,1.13841,0.87202,0,0.42784,0.45324,0.38787,0.28756,0.41614,0.44444,0.37465,0.19431,0.76298,1.00808,1.34732,0.79871,0,0.0004885,0.0004885,0.0004885
